No,Judul Buku,Pengarang,Rak,Jumlah Eksemplar,Status
144,Sistem Informasi Kinerja Manajemen Obat Berbasis Balance Scorecard,Boy Subirosa Sabarguna,Manajemen,2,TERSEDIA
145,SISTEM INFORMASI PENILAIAN KINERJA KARYAWAN DAZZLE YOGYAKARTA BERBASIS WEB,Tidak diketahui,TA/Skripsi/Tesis/Disertasi,1,TERSEDIA
146,Sistem Administrasi Negara Republik Indonesia,Inu Kencana Syafiie,Administrasi Negara dan Ilmu Kemiliteran,5,TERSEDIA
147,"Belajar merakit komputer : sebuah panduan sistematis, jelas, dan tuntas",Atang Gumawang,pik,83,TERSEDIA
148,Mega Proyek 125 Juta : Sistem Informasi Akademik Kampus,Agus Saputra,Basis Data,2,TERSEDIA
149,Sistem Informasi Geografis Dengan Quantum GIS,Eko Budiyanto,GIS,9,TERSEDIA
150,Panduan Lengkap : Membangun Sistem Jaringan Komputer,MADCOMS,Jaringan Komputer,10,TERSEDIA
151,Evaluasi Pengontrolan Sistem Informasi,Irwan Isa,SIM,5,TERSEDIA
152,Analisis dan Desain Sistem Informasi,Al-Bahra Bin Ladjamudin,ansi,4,TERSEDIA
153,Pengantar Sistem Informasi Manajemen,Moekijat,Tidak ada info rak,1,TERSEDIA
154,Sistem Informasi Manajemen : Mengelola Perusahaan Digital,"Kenneth C. Laudon,Jane P. Laudon",SIM,10,TERSEDIA
155,Sistem Informasi Manajemen: Mengelola Perusahaan Digital,"Kenneth C. Laudon,Jane P. Laudon",SIM,10,TERSEDIA
156,Sistem Operasi: Internal dan Prinsip-prinsip Perancangan Jilid 1,William Stallings,ilmu teknik,5,TERSEDIA
157,Model dan Simulasi Sistem Dinamik,"Erma Suryani,Rully Agus Hendrawan,Ulfa Emi Rahmawati",Ilmu Umum dan Komputer,3,TERSEDIA
158,Pendekatan Sistem dalam Manajemen dan Bisnis,Poernomosidi Hadjisarosa,manajemen,1,TERSEDIA
159,Analisa Perancangan Sistem Informasi,"Fintri Indriyani,Yunita,Dinda Ayu Muthia,Artika Surniandari,Sriyadi",Ilmu Umum dan Komputer,1,TERSEDIA
160,Pengenalan Sistem Basis Data Jilid 1,C. J. Date,Basis Data,5,TERSEDIA
161,Sistem informasi akademik kampus berbasis web dengan LARAVEL 5,Liliek Triyono,Ilmu Umum dan Komputer,1,TERSEDIA
162,"Teknologi Big Data : sistem Canggih dibalik Google, Yahoo!, Facebook, IBM-Teori Hingga Tutorial-",W.M. Wijaya,Basis Data,10,TERSEDIA
163,Sistem Informasi Akuntansi Berbasis Komputer Buku 1 Konsep Dasar dan Komponen,jogiyanto HM. ,akuntansi,10,TERSEDIA
164,Perencanaan Strategis Sistem Informasi : Teori dan Penerapannya,Lendy Rahmadi,Perpustakaan Pascasarjana MTI,3,TERSEDIA
165,Memahami Sistem Informasi; Pendekatan Praktis Rekayasa Sistem Informasi Melalui Kasus-Kasus Sistem Informasi di Sekitar Kita,Witarto,Tidak ada info rak,1,TERSEDIA
166,Sistem Komunikasi Data Mutakhir,Rahmat Rafiudin,Internet,5,TERSEDIA
167,"Sistem Hukum, Globalisasi dan Keabsahan Kontrak",Samuel M.P. Hutabarat,Law and Ethics,1,TERSEDIA
168,Apa Yang Harus Diketahui Oleh Sistem Analis,Edi Purwono,Tidak ada info rak,1,TERSEDIA
169,Pengantar Sistem Informasi,yakub ,SIM,12,TERSEDIA
170,"Sistem Informasi; Konsep Dasar, Analisi Desain dan Implementasi",Teguh Wahyono ,Tidak ada info rak,14,TERSEDIA
171,Panduan Menjadi Administrator Sistem Unix,Rahmat Rafiudin,Internet,1,TERSEDIA
172,Soal Jawab Sistem Pengendalian Manajemen,Hery ,manajemen,6,TERSEDIA
